,itemID,userID,reviewerID,asin
0,0,0,A3H7ADUP07D93H,B000GUO4L0
1,1,0,A3H7ADUP07D93H,B002K9XU0Q
2,2,0,A3H7ADUP07D93H,B00006B7UW
3,3,0,A3H7ADUP07D93H,B008CO4NGS
4,4,0,A3H7ADUP07D93H,B000XSPEPA
10,0,301,A1X2LENOF84LCQ,B000GUO4L0
11,2,301,A1X2LENOF84LCQ,B00006B7UW
13,15,301,A1X2LENOF84LCQ,B0039N7ELS
14,16,301,A1X2LENOF84LCQ,B000FH1J6C
15,26,301,A1X2LENOF84LCQ,B0010T3QT2
17,37,301,A1X2LENOF84LCQ,B002K9IHJK
19,71,301,A1X2LENOF84LCQ,B005J7Y6GS
20,74,301,A1X2LENOF84LCQ,B004412E8W
21,107,301,A1X2LENOF84LCQ,B000TS9ITM
22,128,301,A1X2LENOF84LCQ,B00BWN6X78
23,182,301,A1X2LENOF84LCQ,B003BHLMMY
24,226,301,A1X2LENOF84LCQ,B002M83WRG
25,272,301,A1X2LENOF84LCQ,B0035FX5MC
26,323,301,A1X2LENOF84LCQ,B00006IFKW
27,327,301,A1X2LENOF84LCQ,B001CQDOMM
31,426,301,A1X2LENOF84LCQ,B00BQX5PYQ
33,462,301,A1X2LENOF84LCQ,B004YQZPVA
34,488,301,A1X2LENOF84LCQ,B004VJSG6G
35,547,301,A1X2LENOF84LCQ,B00004Z5SN
36,590,301,A1X2LENOF84LCQ,B0013C7V24
38,864,301,A1X2LENOF84LCQ,B0074ZN27C
39,928,301,A1X2LENOF84LCQ,B00B80SOWM
40,947,301,A1X2LENOF84LCQ,B00ATM1N9Q
41,960,301,A1X2LENOF84LCQ,B004VJSFG2
42,979,301,A1X2LENOF84LCQ,B000JIJTM8
44,1149,301,A1X2LENOF84LCQ,B001PMG98O
45,1150,301,A1X2LENOF84LCQ,B00000JFNV
46,1151,301,A1X2LENOF84LCQ,B002JFQKMG
47,1152,301,A1X2LENOF84LCQ,B002VUCCNU
48,0,832,A1VGXHHR08G044,B000GUO4L0
49,27,832,A1VGXHHR08G044,B002M8177I
50,32,832,A1VGXHHR08G044,B002K9M8RC
52,46,832,A1VGXHHR08G044,B000WU4H5C
53,56,832,A1VGXHHR08G044,B0092KZ85Q
54,64,832,A1VGXHHR08G044,B00006IBV7
55,71,832,A1VGXHHR08G044,B005J7Y6GS
56,98,832,A1VGXHHR08G044,B00CLV8ZIU
57,107,832,A1VGXHHR08G044,B000TS9ITM
58,130,832,A1VGXHHR08G044,B000ANLD1M
59,168,832,A1VGXHHR08G044,B002M7XXAI
60,178,832,A1VGXHHR08G044,B002JG0DMS
61,195,832,A1VGXHHR08G044,B008FYGKJI
62,200,832,A1VGXHHR08G044,B00004Z69W
65,446,832,A1VGXHHR08G044,B0018179YU
67,592,832,A1VGXHHR08G044,B004DNX8O0
68,612,832,A1VGXHHR08G044,B000087KUA
69,846,832,A1VGXHHR08G044,B001SEVPHO
70,935,832,A1VGXHHR08G044,B000ALCJT4
71,978,832,A1VGXHHR08G044,B0058TW286
72,1004,832,A1VGXHHR08G044,B000I0VMMC
73,1055,832,A1VGXHHR08G044,B000J05GKA
74,1152,832,A1VGXHHR08G044,B002VUCCNU
75,1329,832,A1VGXHHR08G044,B0007XJOLG
77,0,1013,A31DVKL8JE4XAH,B000GUO4L0
78,101,1013,A31DVKL8JE4XAH,B004XOK1SU
