2023-04-30 17:17:39,583 - INFO - Loaded Data/Office/train.csv with 3508 users and 2318 items.
2023-04-30 17:17:39,583 - INFO - Matrix size: (3509, 2319), total ratings: 31193
2023-04-30 17:17:40,027 - INFO - Loaded Data/Office/test.csv with 3508 users and 2334 items.
2023-04-30 17:17:40,027 - INFO - Matrix size: (3509, 2335), total ratings: 13396
2023-04-30 17:17:40,784 - INFO - Loaded dataset with 3509 users and 2319 items.
2023-04-30 17:17:40,784 - INFO - Training set contains 31193 ratings and test set contains 13396 ratings.
2023-04-30 17:17:43,047 - INFO - Epoch 1, Loss: 693.81088
2023-04-30 17:17:43,979 - INFO - Epoch 2, Loss: 692.91822
2023-04-30 17:17:44,890 - INFO - Epoch 3, Loss: 692.40028
2023-04-30 17:17:45,745 - INFO - Epoch 4, Loss: 691.95252
2023-04-30 17:17:46,599 - INFO - Epoch 5, Loss: 691.62799
2023-04-30 17:17:47,521 - INFO - Epoch 6, Loss: 691.37749
2023-04-30 17:17:48,419 - INFO - Epoch 7, Loss: 691.17057
2023-04-30 17:17:49,289 - INFO - Epoch 8, Loss: 690.95287
2023-04-30 17:17:50,139 - INFO - Epoch 9, Loss: 690.72829
2023-04-30 17:17:50,986 - INFO - Epoch 10, Loss: 690.53103
2023-04-30 17:17:53,813 - INFO - Epoch 10: [0.8s + 2.8s] Loss: 2.22752, Recall: 0.01072, Precision: 0.00245, Hit Ratio: 0.04638, NDCG: 0.01743
2023-04-30 17:17:54,808 - INFO - Epoch 11, Loss: 690.32904
2023-04-30 17:17:55,685 - INFO - Epoch 12, Loss: 690.15989
2023-04-30 17:17:56,530 - INFO - Epoch 13, Loss: 689.92994
2023-04-30 17:17:57,378 - INFO - Epoch 14, Loss: 689.76642
2023-04-30 17:17:58,227 - INFO - Epoch 15, Loss: 689.59162
2023-04-30 17:17:59,077 - INFO - Epoch 16, Loss: 689.44819
2023-04-30 17:17:59,926 - INFO - Epoch 17, Loss: 689.27212
2023-04-30 17:18:00,780 - INFO - Epoch 18, Loss: 689.08845
2023-04-30 17:18:01,622 - INFO - Epoch 19, Loss: 688.89690
2023-04-30 17:18:02,481 - INFO - Epoch 20, Loss: 688.75686
2023-04-30 17:18:05,399 - INFO - Epoch 20: [0.9s + 2.9s] Loss: 2.22180, Recall: 0.01468, Precision: 0.00337, Hit Ratio: 0.06014, NDCG: 0.02328
2023-04-30 17:18:06,347 - INFO - Epoch 21, Loss: 688.62344
2023-04-30 17:18:07,191 - INFO - Epoch 22, Loss: 688.45314
2023-04-30 17:18:08,037 - INFO - Epoch 23, Loss: 688.25992
2023-04-30 17:18:08,882 - INFO - Epoch 24, Loss: 688.11127
2023-04-30 17:18:09,726 - INFO - Epoch 25, Loss: 687.97633
2023-04-30 17:18:10,569 - INFO - Epoch 26, Loss: 687.81385
2023-04-30 17:18:11,414 - INFO - Epoch 27, Loss: 687.61792
2023-04-30 17:18:12,255 - INFO - Epoch 28, Loss: 687.45777
2023-04-30 17:18:13,097 - INFO - Epoch 29, Loss: 687.34333
2023-04-30 17:18:13,940 - INFO - Epoch 30, Loss: 687.17598
